Name,Watched Date,Year,Rewatch
Pinocchio,07/10/2021 00:00:00,1940,
Black Widow,07/11/2021 00:00:00,2021,
The 400 Blows,07/13/2021 00:00:00,1959,
"Monsters, Inc.",07/14/2021 00:00:00,2001,
Mystic Pizza,07/16/2021 00:00:00,1988,
The Sound of Fury,07/18/2021 00:00:00,1950,
Peeping Tom,07/19/2021 00:00:00,1960,
Theorem,07/20/2021 00:00:00,1968,
Deadlock,07/21/2021 00:00:00,1970,
Phantom of the Paradise,07/22/2021 00:00:00,1974,
Land of the Dead,07/25/2021 00:00:00,2005,Yes
Shaun of the Dead,07/27/2021 00:00:00,2004,Yes
Luca,07/29/2021 00:00:00,2021,Yes
Sartana's Here... Trade Your Pistol for a Coffin,07/30/2021 00:00:00,1970,
Teen Beach Movie,07/31/2021 00:00:00,2013,
The Fast and the Furious,08/02/2021 00:00:00,2001,
2 Fast 2 Furious,08/03/2021 00:00:00,2003,
Elektra,08/04/2021 00:00:00,2005,
The Dark Crystal,08/06/2021 00:00:00,1982,
Pride & Prejudice,08/07/2021 00:00:00,2005,
