Title,Genres,SpokenLanguages,Runtime,WatchedDate,Rewatch,ReleaseYear
Uncle Boonmee Who Can Recall His Past Lives,"Drama,Fantasy","French,Lao,Thai",114,07/10/2020 00:00:00,,2010
Sweeney Todd: The Demon Barber of Fleet Street,"Drama,Horror",English,116,07/11/2020 00:00:00,,2007
Archive,"Science Fiction,Drama,Fantasy,Thriller","English,Japanese",109,07/11/2020 00:00:00,,2020
Palm Springs,"Comedy,Romance,Science Fiction","Spanish,English",90,07/12/2020 00:00:00,,2020
Pandora's Box,"Drama,Romance,Crime",No Language,133,07/13/2020 00:00:00,,1929
The General,"Action,Adventure,Comedy,Drama,War",No Language,79,07/14/2020 00:00:00,,1926
Capone,"Crime,Drama","English,Italian",103,07/14/2020 00:00:00,,2020
Modern Times,"Comedy,Drama","English,No Language",87,07/15/2020 00:00:00,,1936
Scarface,"Action,Crime,Drama,Thriller","English,Italian",93,07/16/2020 00:00:00,,1932
First Cow,"Drama,Western",English,122,07/17/2020 00:00:00,,2019
Palm Springs,"Comedy,Romance,Science Fiction","Spanish,English",90,07/18/2020 00:00:00,Yes,2020
Scarlet Street,"Drama,Thriller,Crime",English,103,07/19/2020 00:00:00,,1945
Notorious,"Thriller,Romance,Mystery",English,103,07/20/2020 00:00:00,,1946
Being There,"Comedy,Drama",English,130,07/21/2020 00:00:00,,1979
The Thing from Another World,"Drama,Horror,Science Fiction",English,87,07/24/2020 00:00:00,,1951
Anatomy of a Murder,"Crime,Drama,Mystery,Thriller","English,Italian",161,07/25/2020 00:00:00,,1959
Groundhog Day,"Romance,Fantasy,Drama,Comedy","English,French,Italian",101,07/26/2020 00:00:00,,1993
The Old Guard,"Action,Fantasy","English,Arabic,French,Russian,Italian",125,07/27/2020 00:00:00,,2020
Andrei Rublev,"Drama,History","Tatar,Russian,Italian",205,07/28/2020 00:00:00,,1966
PlayTime,Comedy,"German,French,English",115,07/29/2020 00:00:00,,1967
Iron Man,"Action,Science Fiction,Adventure","English,Persian,Urdu,Arabic",126,07/30/2020 00:00:00,,2008
News from Home,Documentary,French,85,07/31/2020 00:00:00,,1976
Diary of a Wimpy Kid,"Comedy,Family",English,92,08/02/2020 00:00:00,,2010
Duelle,"Drama,Fantasy,Mystery",French,121,08/03/2020 00:00:00,,1976
The Incredible Hulk,"Science Fiction,Action,Adventure","Portuguese,Spanish,English",114,08/04/2020 00:00:00,,2008
Host,"Horror,Thriller,Mystery",English,57,08/05/2020 00:00:00,,2020
Possession,Horror,English,124,08/05/2020 00:00:00,,1981
Thief,"Crime,Thriller,Action",English,123,08/06/2020 00:00:00,,1981
Iron Man 2,"Adventure,Action,Science Fiction","English,Russian,French",124,08/07/2020 00:00:00,,2010
Ratcatcher,Drama,English,94,08/08/2020 00:00:00,,1999
An American Pickle,"Comedy,Drama","English,Yiddish,Hebrew",89,08/09/2020 00:00:00,,2020
Crash,"Drama,Thriller",English,100,08/10/2020 00:00:00,,1996
Thor,"Adventure,Fantasy,Action",English,115,08/11/2020 00:00:00,,2011
The Final Exit of the Disciples of Ascensia,"Comedy,Animation,Science Fiction",English,45,08/12/2020 00:00:00,,2019
Bacurau,"Mystery,Western,Thriller","English,Portuguese",131,08/12/2020 00:00:00,,2019
The Secret of the Third Planet,"Animation,Science Fiction,Fantasy,Adventure,Family",Russian,50,08/13/2020 00:00:00,,1981
The New World,"Drama,History,Romance",English,151,08/13/2020 00:00:00,,2005
Diary of a Wimpy Kid: Rodrick Rules,"Family,Comedy",English,99,08/14/2020 00:00:00,,2011
Spree,"Thriller,Horror,Comedy","English,Korean",93,08/15/2020 00:00:00,,2020
Grizzly Man,Documentary,English,103,08/16/2020 00:00:00,,2005
Captain America: The First Avenger,"Action,Adventure,Science Fiction","French,Norwegian,English",124,08/17/2020 00:00:00,,2011
She Dies Tomorrow,Drama,English,85,08/18/2020 00:00:00,,2020
Certified Copy,"Drama,Romance","English,French,Italian",106,08/18/2020 00:00:00,,2010
Good Time,"Thriller,Crime",English,102,08/19/2020 00:00:00,,2017
The Maltese Falcon,"Mystery,Crime,Thriller",English,100,08/20/2020 00:00:00,,1941
Laura,"Drama,Mystery",English,88,08/20/2020 00:00:00,Yes,1944
Touch of Evil,"Crime,Thriller","English,Spanish",111,08/21/2020 00:00:00,Yes,1958
The Avengers,"Science Fiction,Action,Adventure","English,Hindi,Russian",143,08/21/2020 00:00:00,,2012
A Page of Madness,"Horror,Drama",No Language,71,08/22/2020 00:00:00,,1926
Diary of a Wimpy Kid: Dog Days,"Comedy,Family",English,94,08/23/2020 00:00:00,,2012
Boys State,Documentary,English,109,08/24/2020 00:00:00,,2020
The Phantom Carriage,"Drama,Fantasy,Horror",No Language,107,08/25/2020 00:00:00,,1921
Iron Man 3,"Action,Adventure,Science Fiction",English,130,08/26/2020 00:00:00,,2013
Peninsula,"Action,Horror,Thriller","English,Korean",116,08/27/2020 00:00:00,,2020
Top Hat,"Comedy,Music,Romance","English,Italian",101,08/28/2020 00:00:00,,1935
Bill & Ted Face the Music,"Comedy,Science Fiction,Adventure",English,91,08/29/2020 00:00:00,,2020
King Kong,"Adventure,Fantasy,Horror",English,104,08/30/2020 00:00:00,,1933
Thor: The Dark World,"Action,Adventure,Fantasy",English,112,08/31/2020 00:00:00,,2013
The Magnificent Ambersons,"Drama,Romance,History",English,88,09/01/2020 00:00:00,,1942
Late Spring,Drama,Japanese,110,09/02/2020 00:00:00,,1949
Captain America: The Winter Soldier,"Action,Adventure,Science Fiction",English,136,09/03/2020 00:00:00,,2014
Yes Man,"Comedy,Romance","Estonian,English,Korean",104,09/04/2020 00:00:00,,2008
I'm Thinking of Ending Things,"Drama,Mystery,Thriller,Fantasy",English,135,09/05/2020 00:00:00,,2020
The Incredible Shrinking Man,"Drama,Science Fiction,Horror",English,81,09/06/2020 00:00:00,,1957
Wild Strawberries,Drama,"Latin,Swedish",91,09/08/2020 00:00:00,,1957
Guardians of the Galaxy,"Action,Science Fiction,Adventure",English,121,09/09/2020 00:00:00,,2014
Eyes Without a Face,"Drama,Horror,Thriller",French,84,09/10/2020 00:00:00,,1960
High and Low,"Crime,Drama,Mystery,Thriller",Japanese,142,09/11/2020 00:00:00,,1963
Avengers: Age of Ultron,"Action,Adventure,Science Fiction",English,141,09/12/2020 00:00:00,,2015
"One Sings, the Other Doesn't","Drama,Music","German,English,French,Dutch,Persian",120,09/13/2020 00:00:00,,1977
The Conformist,Drama,"French,Italian,Latin",108,09/14/2020 00:00:00,,1970
Ant-Man,"Science Fiction,Action,Adventure",English,117,09/15/2020 00:00:00,,2015
The Fan,"Horror,Drama",German,92,09/16/2020 00:00:00,,1982
Heathers,"Comedy,Crime",English,103,09/18/2020 00:00:00,Yes,1989
The Devil All the Time,"Crime,Drama,Thriller",English,138,09/19/2020 00:00:00,,2020
Baskin,Horror,Turkish,97,09/20/2020 00:00:00,,2015
Captain America: Civil War,"Adventure,Action,Science Fiction","Romanian,English,German,Russian",147,09/21/2020 00:00:00,,2016
The Invisible Man,"Horror,Science Fiction",English,71,09/22/2020 00:00:00,,1933
Perfect Blue,"Animation,Thriller",Japanese,81,09/22/2020 00:00:00,,1997
The Devil Rides Out,Horror,"French,English",96,09/23/2020 00:00:00,,1968
Enola Holmes,"Mystery,Crime,Adventure",English,123,09/24/2020 00:00:00,,2020
Doctor Strange,"Action,Adventure,Fantasy",English,115,09/25/2020 00:00:00,,2016
Swallow,"Drama,Horror,Thriller",English,96,09/26/2020 00:00:00,,2019
Blood and Black Lace,"Horror,Mystery,Thriller",Italian,88,09/27/2020 00:00:00,,1964
Guardians of the Galaxy Vol. 2,"Adventure,Action,Science Fiction",English,137,09/28/2020 00:00:00,,2017
Residue,Drama,English,90,09/29/2020 00:00:00,,2020
Society,"Comedy,Horror,Mystery",English,100,09/30/2020 00:00:00,,1989
Diabolique,"Drama,Horror,Thriller","English,French",117,10/01/2020 00:00:00,,1955
The Final Exit of the Disciples of Ascensia,"Comedy,Animation,Science Fiction",English,45,10/02/2020 00:00:00,Yes,2019
Spider-Man: Homecoming,"Action,Adventure,Science Fiction,Drama",English,133,10/03/2020 00:00:00,,2017
Creepshow,"Horror,Comedy",English,120,10/04/2020 00:00:00,,1982
The Orphanage,"Horror,Drama,Thriller",Spanish,105,10/05/2020 00:00:00,,2007
The Stuff,"Horror,Science Fiction,Comedy",English,93,10/06/2020 00:00:00,,1985
Popcorn,"Comedy,Horror",English,91,10/07/2020 00:00:00,,1991
Thor: Ragnarok,"Action,Adventure,Fantasy,Science Fiction,Comedy",English,131,10/08/2020 00:00:00,,2017
Black Panther,"Action,Adventure,Science Fiction","English,Korean,Swahili,Xhosa",135,10/09/2020 00:00:00,,2018
[REC],"Horror,Mystery","Japanese,Spanish",78,10/11/2020 00:00:00,,2007
Night of the Creeps,"Horror,Comedy,Science Fiction",English,90,10/12/2020 00:00:00,,1986
Avengers: Infinity War,"Adventure,Action,Science Fiction","English,Xhosa",149,10/13/2020 00:00:00,,2018
The Fly,"Horror,Science Fiction",English,96,10/14/2020 00:00:00,,1986
28 Days Later,"Horror,Thriller,Science Fiction","Spanish,English",113,10/15/2020 00:00:00,,2002
Ant-Man and the Wasp,"Action,Adventure,Science Fiction",English,119,10/18/2020 00:00:00,,2018
